"long","lat","order","hole","piece","id","group"
358131.9013,385425.8024,241,FALSE,"1","E06000007","E06000007.1"
355191.8032,384297.1955,242,FALSE,"1","E06000007","E06000007.1"
354113.9016,384806.9995,243,FALSE,"1","E06000007","E06000007.1"
354161.5003,387836.6023,244,FALSE,"1","E06000007","E06000007.1"
355115.9981,388075.7039,245,FALSE,"1","E06000007","E06000007.1"
356007.2974,392639.4975,246,FALSE,"1","E06000007","E06000007.1"
355233.4985,393119.8,247,FALSE,"1","E06000007","E06000007.1"
355690.4975,393999.0983,248,FALSE,"1","E06000007","E06000007.1"
354787.4984,393784.4998,249,FALSE,"1","E06000007","E06000007.1"
355128.0029,395326.0985,250,FALSE,"1","E06000007","E06000007.1"
357645.4014,394368.8025,251,FALSE,"1","E06000007","E06000007.1"
358410.9966,393251.8022,252,FALSE,"1","E06000007","E06000007.1"
360493.6001,394152.2045,253,FALSE,"1","E06000007","E06000007.1"
360337.8014,395015.4974,254,FALSE,"1","E06000007","E06000007.1"
361217.3021,393828.0973,255,FALSE,"1","E06000007","E06000007.1"
361791.1006,394518.7996,256,FALSE,"1","E06000007","E06000007.1"
362224.0982,395896.9951,257,FALSE,"1","E06000007","E06000007.1"
363641.9025,396220.8024,258,FALSE,"1","E06000007","E06000007.1"
363410.8016,396926.6003,259,FALSE,"1","E06000007","E06000007.1"
367158.6024,398358.3005,260,FALSE,"1","E06000007","E06000007.1"
367582.2007,396058.1989,261,FALSE,"1","E06000007","E06000007.1"
372966.4977,423266.5006,262,FALSE,"1","E06000008","E06000008.1"
373792.4961,421751.2044,263,FALSE,"1","E06000008","E06000008.1"
375369.8011,421263.604,264,FALSE,"1","E06000008","E06000008.1"
375568.5977,419017.9968,265,FALSE,"1","E06000008","E06000008.1"
376122.8967,417715.6995,266,FALSE,"1","E06000008","E06000008.1"
375608.0009,415062.8989,267,FALSE,"1","E06000008","E06000008.1"
375025.3966,414992.0992,268,FALSE,"1","E06000008","E06000008.1"
372205.998,414225.2986,269,FALSE,"1","E06000008","E06000008.1"
371095.0007,416703.0994,270,FALSE,"1","E06000008","E06000008.1"
369689.696,413818.905,271,FALSE,"1","E06000008","E06000008.1"
368397.9011,413492.8983,272,FALSE,"1","E06000008","E06000008.1"
366280.6023,414615.6969,273,FALSE,"1","E06000008","E06000008.1"
364921.8987,418843.2968,274,FALSE,"1","E06000008","E06000008.1"
366064.6972,421812.9967,275,FALSE,"1","E06000008","E06000008.1"
364461.1977,422995.6981,276,FALSE,"1","E06000008","E06000008.1"
363060.7988,427981.2011,277,FALSE,"1","E06000008","E06000008.1"
363748.5029,429031.4004,278,FALSE,"1","E06000008","E06000008.1"
